ds,trend,yhat,yhat_upper,yhat_lower,y
1964-01-01,3485.067376,2360.189300111895,,,2815.0
1964-02-01,3516.5034178092233,1920.1053591165319,,,2672.0
1964-03-01,3545.911327888818,2734.868070857846,,,2755.0
1964-04-01,3577.3473696980413,2631.6179435968725,,,2721.0
1964-05-01,3607.769345321442,2864.981018337242,,,2946.0
1964-06-01,3639.205386798956,3016.2350078761347,,,3036.0
1964-07-01,3669.6273624223572,2245.206687057156,,,2282.0
1964-08-01,3701.063403899871,698.2475324714096,,,2212.0
1964-09-01,3732.499445364501,3411.3196306612845,,,2922.0
1964-10-01,3762.9214209754323,4944.790795671313,,,4301.0
1964-11-01,3794.357462440061,7594.675051633325,,,5764.0
1964-12-01,3824.7794379470774,9409.933524553473,,,7312.0
1965-01-01,3856.2154793043283,2636.861379399382,,,2541.0
1965-02-01,3887.651520661579,2380.603300052602,,,2475.0
1965-03-01,3916.0453640135042,2973.4864523870287,,,3031.0
1965-04-01,3947.4814048674207,3051.5818420175538,,,3266.0
1965-05-01,3977.90337988734,3261.8066568561962,,,3776.0
1965-06-01,4009.3394207412575,3393.242994928564,,,3230.0
1965-07-01,4039.7613957425638,2749.7935301362004,,,3028.0
1965-08-01,4071.197436577247,925.4046653187115,,,1759.0
1965-09-01,4102.63347741193,3824.07662452885,,,3595.0
1965-10-01,4133.055452281865,5169.368955255219,,,4474.0
1965-11-01,4164.491492980798,7911.592457872722,,,6838.0
1965-12-01,4194.913467850734,10000.382665138644,,,8357.0
1966-01-01,4226.349509159595,3041.1994921995883,,,3113.0
1966-02-01,4257.785550468457,2723.6148136337915,,,3006.0
1966-03-01,4286.179394231299,3213.498710034967,,,4047.0
1966-04-01,4317.6154355401595,3474.3195985505163,,,3523.0
1966-05-01,4348.037409169475,3659.0902999907767,,,3937.0
1966-06-01,4379.473448586435,3770.891934480399,,,3986.0
1966-07-01,4409.89542221575,3251.7591895088935,,,3260.0
1966-08-01,4441.3314616764,1151.4294398619436,,,1573.0
1966-09-01,4472.767501137051,4236.181002469573,,,3528.0
1966-10-01,4503.189474808649,5394.565561371162,,,5211.0
1966-11-01,4534.625514074761,8233.212874922358,,,7614.0
1966-12-01,4565.047487558095,10589.98317768428,,,9254.0
1967-01-01,4596.483526824207,3442.840273518847,,,5375.0
1967-02-01,4627.91956609032,3063.9471078687984,,,3088.0
1967-03-01,4656.313406853801,3455.0568202618715,,,3718.0
1967-04-01,4687.749444841941,3899.801900495536,,,4514.0
1967-05-01,4718.171417088529,4056.775083027238,,,4520.0
1967-06-01,4749.607446108211,4149.127420398922,,,4539.0
1967-07-01,4780.029409675645,3750.999787626984,,,3663.0
1967-08-01,4811.465438695327,1376.4396904095242,,,1643.0
1967-09-01,4842.901189997361,4647.640146872108,,,4739.0
1967-10-01,4873.322884805782,5620.526009724342,,,5428.0
1967-11-01,4904.7586361078165,8559.54112104038,,,8314.0
1967-12-01,4935.176194989611,11178.499734725854,,,10651.0
1968-01-01,4966.6076725008,3841.7295966126476,,,3633.0
1968-02-01,4998.039150011988,3401.6410913193326,,,4292.0
1968-03-01,5027.44279026439,4216.399533233334,,,4154.0
1968-04-01,5055.323617078295,4109.5941909771645,,,4121.0
1968-05-01,5082.305062382074,4339.516735397846,,,4647.0
1968-06-01,5110.185889195978,4487.215510273157,,,4753.0
1968-07-01,5130.938667400578,3706.517992035394,,,3965.0
1968-08-01,5152.383204878664,2149.567333450275,,,1723.0
1968-09-01,5173.827742356751,4852.647927653495,,,5048.0
1968-10-01,5187.597791750233,6369.467166446095,,,6922.0
1968-11-01,5201.826842790164,9002.14443198337,,,9858.0
1968-12-01,5215.596892183647,10800.750978790105,,,11331.0
1969-01-01,5229.825943223577,4010.47184331865,,,4016.0
1969-02-01,5242.202784773048,3735.1545641640782,,,3957.0
1969-03-01,5253.381867462891,4310.8229558364,,,4510.0
1969-04-01,5265.758709012362,4369.859146162487,,,4276.0
1969-05-01,5277.73629444912,4561.639571418038,,,4968.0
1969-06-01,5290.113132733769,4674.016706921026,,,4677.0
1969-07-01,5302.090718170528,4012.122852564181,,,3523.0
1969-08-01,5314.467555238203,2168.674783979557,,,1821.0
1969-09-01,5326.8443923058785,5048.28753942282,,,5222.0
1969-10-01,5338.82197656492,6375.135479538256,,,6872.0
1969-11-01,5351.198813632595,9098.299778524508,,,10803.0
1969-12-01,5363.176397808382,11168.645595096315,,,13916.0
1970-01-01,5375.553234790029,4190.4032178300295,,,2639.0
1970-02-01,5387.930071771676,3853.7593349370277,,,2899.0
1970-03-01,5399.109150324402,4326.428466127993,,,3370.0
1970-04-01,5411.485987293492,4568.190150303866,,,3740.0
1970-05-01,5423.463571457127,4734.5164622784,,,2927.0
1970-06-01,5435.840408830038,4827.258894723995,,,3986.0
1970-07-01,5447.817993384469,4289.681760677664,,,4217.0
1970-08-01,5460.19483075738,2170.2928089428533,,,1738.0
1970-09-01,5472.571668130293,5235.985169462811,,,5221.0
1970-10-01,5484.549252226793,6375.9253387892795,,,6424.0
1970-11-01,5496.92608912651,9195.513449974078,,,9842.0
1970-12-01,5508.903673223011,11533.839363349256,,,13076.0
1971-01-01,5521.280510568763,4367.637257263383,,,3934.0
1971-02-01,5533.657347914516,3969.68488969301,,,3162.0
1971-03-01,5544.836426807454,4343.5798402154505,,,4286.0
1971-04-01,5557.213264153207,4769.265719806844,,,4676.0
1971-05-01,5569.1908486813545,4907.794514620079,,,5010.0
1971-06-01,5581.567686027107,4981.087660317826,,,4874.0
1971-07-01,5593.545270555255,4564.515648506621,,,4633.0
1971-08-01,5605.922107901008,2170.8963596151875,,,1659.0
1971-09-01,5618.298945246761,5423.037902121509,,,5951.0
1971-10-01,5630.276529774908,6377.4796546934585,,,6981.0
1971-11-01,5642.653367120661,9297.435852053222,,,9851.0
1971-12-01,5654.630951648809,11897.954491385157,,,12670.0
1972-01-01,5667.007788994561,4542.129713106412,,,4348.0
1972-02-01,5679.384626340315,4082.9865676476375,,,3564.0
1972-03-01,5690.962958050857,4879.919701019803,,,4577.0
1972-04-01,5703.3397953966105,4757.610369295483,,,4788.0
1972-05-01,5715.317379924758,4972.529052940565,,,4618.0
1972-06-01,5727.694217270511,5104.723838347703,,,5312.0
1972-07-01,5739.6718017986595,4315.2511264335335,,,4298.0
1972-08-01,5752.048639144411,2749.2327677160156,,,1413.0
1972-09-01,5764.425476490164,5443.245661786868,,,5877.0
1972-09-02,5764.824729307769,5266.51681371233,6197.466375205922,4296.5165065698075,
1972-09-03,5765.223982125374,5079.083277665556,5963.434984110806,4084.8306196363988,
1972-09-04,5765.623234942978,4881.192092279344,5863.209781339807,3952.4377643748962,
1972-09-05,5766.022487760583,4673.60774343334,5707.269201580435,3778.932505858022,
1972-09-06,5766.421740578188,4457.679149645913,5351.180930023271,3509.4103831146585,
1972-09-07,5766.820993395793,4235.384702604149,5220.763605662838,3286.8255673083386,
1972-09-08,5767.220246213398,4009.352848458922,4923.129633175272,3010.2655982106085,
1972-09-09,5767.619499031004,3782.8565066663723,4673.002032060854,2833.908555747896,
1972-09-10,5768.018751848609,3559.7805028923253,4540.789779335421,2605.681333201246,
1972-09-11,5768.418004666214,3344.5621132679958,4293.119795754312,2395.9875159977687,
1972-09-12,5768.817257483819,3142.105750009189,4173.671654345173,2253.580767900824,
1972-09-13,5769.216510301424,2957.6737333507717,3896.316997671611,1986.9944694341798,
1972-09-14,5769.615763119029,2796.7559624291575,3768.6870857324293,1873.3811790977236,
1972-09-15,5770.015015936633,2664.9220898578433,3638.928648316513,1645.8512627267517,
