date,sales,prediction,forecast,upperbound,lowerbound,trend
1949-01-01,112.0,85.86419462844466,NaN,NaN,NaN,107.25394800000001
1949-02-01,118.0,79.3370262726207,NaN,NaN,NaN,109.40428089338235
1949-03-01,132.0,110.9072997198444,NaN,NaN,NaN,111.34651705514706
1949-04-01,129.0,108.53929115351559,NaN,NaN,NaN,113.4968499485294
1949-05-01,121.0,111.89410531568515,NaN,NaN,NaN,115.57781726470589
1949-06-01,135.0,152.03322059901853,NaN,NaN,NaN,117.72815015808824
1949-07-01,148.0,190.70008358270587,NaN,NaN,NaN,119.80911751220508
1949-08-01,148.0,190.1597604337037,NaN,NaN,NaN,121.95945044479251
1949-09-01,136.0,140.6099233525237,NaN,NaN,NaN,124.10978337737993
1949-10-01,119.0,104.49570558417675,NaN,NaN,NaN,126.19075073149679
1949-11-01,104.0,69.6620811803804,NaN,NaN,NaN,128.3410837859959
1949-12-01,118.0,98.12605640212863,NaN,NaN,NaN,130.4220512580918
1950-01-01,115.0,110.16642663259071,NaN,NaN,NaN,132.5723843125909
1950-02-01,126.0,103.07355447509431,NaN,NaN,NaN,134.72271736708998
1950-03-01,141.0,137.82064436724565,NaN,NaN,NaN,136.66495367437952
1950-04-01,135.0,132.9132188908719,NaN,NaN,NaN,138.81528681011247
1950-05-01,125.0,138.01651617463156,NaN,NaN,NaN,140.89625436082176
1950-06-01,149.0,176.5056659433528,NaN,NaN,NaN,143.0465874965547
1950-07-01,170.0,216.20209483519804,NaN,NaN,NaN,145.127555047264
1950-08-01,170.0,215.18697345753287,NaN,NaN,NaN,147.27788832911617
1950-09-01,158.0,166.27448928111966,NaN,NaN,NaN,149.42822161096828
1950-10-01,133.0,129.62830772949758,NaN,NaN,NaN,151.50918930308325
1950-11-01,114.0,95.80220918962708,NaN,NaN,NaN,153.6595225849354
1950-12-01,140.0,124.42435531805273,NaN,NaN,NaN,155.74049027705038
1951-01-01,145.0,134.42969194052299,NaN,NaN,NaN,157.89082355018633
